name	category	role	synonyms	zone	storage_unit	sublocation	label	notes	training_link
Q Samples	primer		g00101|G00101|pP6 sequencing primer|sequencing primer|Q primer|forward primer	right-upper	enzyme_freezer	training_box	Q (purple tube)	"2.66 uM pP6 sequencing primer (G00101). Purple tube labeled ""Q"". Use for Sanger sequencing of pP6 constructs."	wetlab/sequencing.md
PrimeStar PCR Buffer	buffer		pcr buffer|primestar buffer|B buffer|green tube|buffer	right-upper	enzyme_freezer	training_box	B (green tube)	"PrimeStar PCR Buffer. Green tube labeled ""B"". Use with PrimeStar Polymerase for high-fidelity PCR."	wetlab/pcr.md
PrimeStar Polymerase	enzyme	working	polymerase|pcr enzyme|primestar|high fidelity polymerase|HiFi polymerase|DNA polymerase	top_clear_zone	enzyme_freezer	enzyme_backups	PrimeStar	Take the yellow caddy to the bench then return when done.  Don't let enzymes warm up.	
BsaI	enzyme	working	BsaI-HFv2|BsaIv2|type IIS restriction enzyme|golden gate enzyme|restriction enzyme|BsaI HF	right-upper	enzyme_freezer	enzyme_caddy	BsaI-v2	Take the yellow caddy to the bench then return when done.  Don't let enzymes warm up.	
BseRI	enzyme	working	BseRI enzyme|restriction enzyme|type IIS	right-upper	enzyme_freezer	enzyme_caddy	BseRI	Take the yellow caddy to the bench then return when done.  Don't let enzymes warm up.	
BsmBI	enzyme	working	BsmBI-v2|Esp3I|restriction enzyme|type IIS restriction enzyme|golden gate enzyme	right-upper	enzyme_freezer	enzyme_caddy	BsmBI	Take the yellow caddy to the bench then return when done.  Don't let enzymes warm up.	
Gibson Assembly Mix	enzyme	working	Gibson mix|HiFi assembly mix|NEBuilder|assembly master mix|HiFi DNA assembly	right-upper	enzyme_freezer	enzyme_caddy	GS Mix	Take the yellow caddy to the bench then return when done.  Don't let enzymes warm up.	
T4 DNA Ligase	enzyme	working	ligase|T4 ligase|DNA ligase	right-upper	enzyme_freezer	enzyme_caddy		Take the yellow caddy to the bench then return when done.  Don't let enzymes warm up.	
PrimeStar Polymerase	enzyme	backup	polymerase|pcr enzyme|primestar|high fidelity polymerase|HiFi polymerase|DNA polymerase	top_clear_zone	minus_20	enzyme_backups	PrimeStar	Backup tubes in -20 enzyme box to replace samples in yellow caddies. Notify directors if used.	
BsaI	enzyme	backup	BsaI-HFv2|BsaIv2|type IIS restriction enzyme|golden gate enzyme|restriction enzyme|BsaI HF	top_clear_zone	minus_20	enzyme_backups	BsaI-v2	Backup tubes in -20 enzyme box to replace samples in yellow caddies. Notify directors if used.	
BseRI	enzyme	backup	BseRI enzyme|restriction enzyme|type IIS	right-upper	minus_20	enzyme_backups	BseRI	Backup tubes in -20 enzyme box to replace samples in yellow caddies. Notify directors if used.	
BsmBI	enzyme	backup	BsmBI-v2|Esp3I|restriction enzyme|type IIS restriction enzyme|golden gate enzyme	right-upper	minus_20	enzyme_backups	BsmBI	Backup tubes in -20 enzyme box to replace samples in yellow caddies. Notify directors if used.	
Gibson Assembly Mix	enzyme	backup	Gibson mix|HiFi assembly mix|NEBuilder|assembly master mix|HiFi DNA assembly	right-upper	minus_20	enzyme_backups	GS Mix	Backup tubes in -20 enzyme box to replace samples in yellow caddies. Notify directors if used.	
T4 DNA Ligase	enzyme	backup	ligase|T4 ligase|DNA ligase	right-upper	minus_20	enzyme_backups		Backup tubes in -20 enzyme box to replace samples in yellow caddies. Notify directors if used.	
Pink Training Box	training		training kit|enzyme training|training enzymes|starter kit|training box	right-upper	enzyme_freezer	training_box		Contains training-grade enzymes for students learning cloning. Use these instead of lab stocks during initial training.	
-20°C Enzyme Freezer	equipment		enzyme freezer|minus 20|minus twenty|minus-20 freezer|-20 freezer|cold storage	right-upper				Upright -20°C freezer for enzyme and reagent storage. Do not store cells here.	trainings/minus_80.md
-80°C Freezer	equipment		minus 80|minus eighty|minus-80 freezer|-80 freezer|ultra-low freezer|glycerol stocks	top2				Ultra-low -80°C freezer for long-term cell and strain storage. Requires training before use.	trainings/minus_80.md
4°C Culture Fridge	equipment		culture fridge|plates fridge|4 degree fridge|refrigerator|fridge|plates|culture plates	top3				4°C refrigerator for culture plates and liquid media. Check expiry dates on plates.	
Cell-Free 4°C Fridge	equipment		cell-free fridge|cell free reagents|CFPS fridge|cfps|cell-free protein synthesis	top_clear_zone				4°C refrigerator for cell-free materials including sterile petri dishes and growth medium	
Fume Hood	equipment		chemical hood|chemical fume hood|hood|volatile chemicals|solvent work	chemical_hood				Required for volatile chemical work. Check airflow indicator before use.	trainings/chemical_cabinets.md
Tecan Plate Reader	equipment		SpectraMax|spectrophotometer|fluorescence reader|absorbance|OD600|optical density	top4				Tecan  plate reader for fluorescence and absorbance measurements.	
Incubator	equipment		37 degree incubator|37C incubator|bacterial incubator|incubation	bay1-left-0				37°C incubator for bacterial culture growth.	
Shaker	equipment		Innova shaker|orbital shaker|shaking incubator|culture shaker|37C shaker	bay1-right-0				Innova orbital shaker for liquid culture growth.	
Gloves	labware		nitrile gloves|latex gloves|PPE|personal protective equipment|hand protection	bay2-left-1				Sizes S/M/L/XL available. Required in lab at all times.	wetlab/safety.md
