>name	Box33								
>description	Old box B and C consolidated with Lycopene16 and Lycopene17 materials								
>location	minifridge								
>plate_type	cardboard_box								
>temperature	-20								
									
>>label	1	2	3	4	5	6	7	8	9
A	GB5F	GB5R	oAfDXSf	oAfDXSr					
B	Af gen.	pLYC72	pTpDXS						
C	zAf	zB72							
D									
E									
F									
G									
H									
I									
									
>>side_label	1	2	3	4	5	6	7	8	9
A	GB5F	GB5R	oAfDXSf	oAfDXSr					
B	Aliivibrio fischeri gen.	pLYC72	pTpDXS						
C	zAf pcrAf	zB72 back72							
D									
E									
F									
G									
H									
I									
									
>>construct	1	2	3	4	5	6	7	8	9
A	GB5F	GB5R	oAfDXSf	oAfDXSr					
B	CP160629	pLYC72	pTpDXS						
C	pcrAf	back72							
D									
E									
F									
G									
H									
I									
									
>>clone	1	2	3	4	5	6	7	8	9
A									
B		A							
C									
D									
E									
F									
G									
H									
I									
									
>>concentration	1	2	3	4	5	6	7	8	9
A	100 uM	100 uM	100 uM	100 uM					
B	miniprep	miniprep	miniprep						
C	zymo	zymo							
D									
E									
F									
G									
H									
I									
									
>>culture	1	2	3	4	5	6	7	8	9
A									
B		secondary	primary						
C									
D									
E									
F									
G									
H									
I									
