slug,day,video,filmed,protocol,thread,make,assembles_into,notes
agar_fresh,Day 1,yes,,Preparation of LB Agar (250 mL bottles),general,"3 bottles, plus empty bottles",,
broth_2yt,Day 1,yes,,Preparation of 2YT Broth (250 mL bottles),general,4 bottles,,
abx_carb,Day 1,yes,,Preparation of Antibiotic 1000x Stock,general,100 mg/mL,,"mg x 10, water"
abx_spec,Day 1,yes,,Preparation of Antibiotic 1000x Stock,general,100 mg/mL,,"mg x 10, water"
abx_kan,Day 1,yes,,Preparation of Antibiotic 1000x Stock,general,25 mg/mL,,"mg x 40, water"
abx_erm,Day 1,yes,,Preparation of Antibiotic 1000x Stock,general,100 mg/mL,,"mg x 10, ethanol"
agar_remelt,Day 1,yes,,Re-melting Solidified LB Agar,general,1 bottle,,
pour_many_plates,Day 1,yes,,Pouring many Carb petri dishes,general,"Carb, 1 stack",plate pouring video,
pour_few_plates1,Day 1,yes,,Pouring a few Erm petri dishes with conicol,general,"Erm, 3 plates",plate pouring video,
pour_few_plates2,Day 1,yes,,Pouring a few spec petri dishes with bottle,general,"Spec, 4 plates",plate pouring video,
pour_large_plate,Day 1,yes,,Pouring and Spreading Large Petri Dishes (150 mm),general,,plate pouring video,150 mm plates; existing module
pour_kan,Day 1,no,,Pouring a few kan petri dishes,general,"Kan, 3 plates",not filmed,
pour_plain,Day 1,no,,Pouring a few plain petri dishes,general,"no ab, 3 plates",not filmed,
ctrl_streak,Day 1,yes,,Streaking control strain,controls,vid 1: 3 plates do all 4,controls video,"neg, streak, and put carb one on spec, streak and neg for others"
ctrl_transform1,Day 1,yes,,"Label plates, thaw cells, incubate dna",controls,4 reactions,controls video,"each control plasmid (carb, kan, spec, erm) — same for all four; the fork is at step 2"
ctrl_transform2a,Day 1,yes,,Heat shock and plate,controls,1 reaction,controls video,"carb only — no rescue, plate straight away"
ctrl_transform2b,Day 1,yes,,Heat shock and rescue,controls,3 reactions,controls video,"kan, spec, erm — 200 uL 2YT, 37 C, 1 h; do not plate yet"
ctrl_transform3a,Day 1,yes,,Plate from a rescue,controls,3 reactions,controls video,"kan, spec, erm — plate all the liquid; dry before inverting"
bestP_transform1,Day 1,yes,,"Label plates, thaw cells, incubate dna",bestp,"7 reactions, on carb",BestP video,
bestP_transform2a,Day 1,yes,,Heat shock and plate,bestp,"7 reactions, on carb",BestP video,carb — no rescue
parafilm,Day 2,yes,,Sealing Petri Dishes with Parafilm,general,,,
ctrl_read,Day 2,yes,,Examine and photograph plates,general,,controls video,
bestp_pick,Day 2,yes,,Pick bestP's colonies into a block,bestp,Full block,BestP video,
pp6_pick,Day 2,yes,,Pick pp6 clones into a 15mL conicol,pp6,do 2,,
bestp_tecan,Day 3,yes,,Tecan the bestp's from a block,bestp,56 wells,BestP video,
bestp_intro,Whenever,yes,,(none),bestp,,BestP video,
